measuring_date,0,Bateria (Volts),Humedad relativa (%),Humedad suelo mineral (m3/m3),Humedad suelo organico (m3/m3),Indice refraccion (VE),Lluvia Accu (mm),Lluvia Ins (mm),NaCl pavimento (%),Nivel agua pavimento (mm),Presion atmosferica (mb),Puerta Abierta Ins,Punto rocio (°C),Temperatura aire (°C),Temperatura pavimento (°C),Temperatura suelo (°C),Velocidad viento (Km/h),Viento direccion (°),Visibilidad (m),Carril1,Carril2,Volume_total
2018-08-01,0.0,13.67639,97.52651,0.4237553,0.5012397,5.159547,41.70003,0.2,0.1,0.253,1016.317,0.0,24.35053,33.2825,59.27,40.5109,19.66047,356.9752,10036.52,2254.0,478.0,2732.0
2018-08-02,0.0,13.38554,96.80051,0.3796286,0.4531014,4.788881,10.1,0.0,0.1,0.745,1015.436,0.0,24.93529,32.6745,53.74,39.26754,12.47821,359.5107,10034.29,2269.0,573.0,2842.0
2018-08-03,0.0,13.60816,91.2365,0.2860729,0.3510406,4.003013,0.0,0.0,0.0,0.0,1015.963,0.0,24.73622,33.376,58.26,38.23433,13.20302,155.9569,10032.42,1900.0,390.0,2290.0
2018-08-04,0.0,13.47807,93.3045,0.2411498,0.3020336,3.625659,0.0,0.0,0.0,0.0,1015.436,0.0,23.98996,33.317,61.07,40.17662,15.03001,168.2272,10034.73,1935.0,340.0,2275.0
2018-08-05,0.0,13.4228,93.591,0.3540462,0.4251934,4.573989,3.599999,0.1,0.1,0.259,1016.381,0.0,24.45906,33.29501,58.42,39.76162,18.62997,153.7696,10033.96,1356.0,263.0,1619.0
2018-08-06,0.0,13.71865,95.78352,0.2708402,0.3344232,3.875059,0.0,0.0,0.0,0.0,1017.721,0.0,24.93077,33.2575,56.5,37.96558,14.89502,338.9986,10033.44,1721.0,312.0,2033.0
2018-08-07,0.0,13.31557,93.79751,0.3457326,0.4161239,4.504155,5.099998,0.0,0.1,0.248,1017.896,0.0,24.76007,33.5395,59.77,39.5877,23.80948,358.9332,10034.01,1896.0,304.0,2200.0
2018-08-08,0.0,13.97922,94.92301,0.2748325,0.3387784,3.908594,6.099999,0.0,0.0,0.0,1017.203,100.0,23.77619,32.832,58.46,40.74106,15.2145,351.4155,10032.21,2121.0,464.0,2585.0
2018-08-09,0.0,13.29167,91.158,0.2327637,0.2928852,3.555216,0.0,0.0,0.0,0.0,1017.753,0.0,23.67594,32.5395,57.58,43.8373,16.60948,124.4309,10032.84,1898.0,318.0,2216.0
2018-08-10,0.0,13.57725,94.25351,0.2076206,0.2654563,3.344014,0.0,0.0,0.0,0.0,1017.081,0.0,24.35303,33.499,58.47,44.97685,11.475,357.3196,10035.06,1880.0,372.0,2252.0
2018-08-11,0.0,13.65862,88.2875,0.1954476,0.2521767,3.241761,0.0,0.0,0.0,0.0,1016.478,0.0,22.75418,34.67158,61.05,46.95414,15.07949,245.2837,10037.48,1364.0,172.0,1536.0
2018-08-12,0.0,13.09714,87.09502,0.1862245,0.2421151,3.164287,0.0,0.0,0.0,0.0,1017.106,0.0,25.0546,33.7605,61.76,46.21583,16.8165,136.2056,10032.74,1476.0,158.0,1634.0
2018-08-13,0.0,13.17886,90.45451,0.3003098,0.3665718,4.122603,75.70001,0.1,0.0,0.0,1016.843,0.0,24.32659,32.9935,56.57,44.87787,13.08152,257.7797,10034.44,1721.0,261.0,1982.0
2018-08-14,0.0,13.16525,94.05526,0.2248976,0.284304,3.489141,0.0,0.0,0.0,0.0,1015.907,0.0,24.23595,34.988,61.97001,47.21387,10.17899,353.834,10040.58,1547.0,183.0,1730.0
2018-08-15,0.0,13.48029,89.52351,0.1912382,0.2475845,3.206401,0.0,0.0,0.0,0.0,1016.368,0.0,24.41668,34.3235,62.57,48.48008,16.28552,277.0132,10036.75,1537.0,254.0,1791.0
2018-08-16,0.0,13.35835,88.00051,0.1796923,0.234989,3.109416,0.0,0.0,0.1,0.082,1019.303,0.0,24.86229,34.8635,63.9,49.20874,13.54952,346.1915,10037.81,1582.0,202.0,1784.0
2018-08-17,0.0,13.28801,94.77351,0.24628,0.3076302,3.668753,18.10003,0.0,0.1,0.14,1018.888,100.0,24.05665,33.775,60.44,48.31339,21.12299,284.2763,10036.47,1779.0,263.0,2042.0
2018-08-18,0.0,12.78618,96.23699,0.3425914,0.4126971,4.477769,4.299998,0.0,0.1,0.212,1018.763,0.0,25.66201,32.812,58.73,45.13516,25.87495,213.5548,10034.88,1284.0,151.0,1435.0
2018-08-19,0.0,13.89419,96.217,0.2828042,0.3474748,3.975556,0.1,0.0,0.1,0.065,1016.676,0.0,24.45914,32.3595,60.23,44.05561,14.22902,350.2587,10034.91,1226.0,153.0,1379.0
2018-08-20,0.0,12.17229,94.6065,0.3301165,0.3990882,4.372979,3.999998,0.0,0.26,0.247,1016.93,100.0,23.8782,34.18,62.54,49.07087,24.75898,355.5943,10031.48,1472.0,231.0,1703.0
2018-08-21,0.0,12.36037,94.58527,0.3079696,0.3749279,4.186945,1.3,0.0,0.1,0.201,1019.866,0.0,25.38313,32.57737,55.02,42.78347,17.71198,287.0209,10031.54,1472.0,291.0,1763.0
2018-08-22,0.0,12.3646,96.18551,0.2816269,0.3461905,3.965667,0.5,0.0,0.1,0.311,1020.685,0.0,25.08503,32.807,61.12,42.99712,25.20447,234.1936,10029.96,1104.0,217.0,1321.0
2018-08-23,0.0,12.31165,95.25251,0.2721903,0.335896,3.886399,0.5,0.0,0.1,0.194,1019.097,0.0,25.3252,32.052,58.1,43.42965,10.52102,359.9543,10030.99,1370.0,169.0,1539.0
2018-08-24,0.0,12.57362,95.755,0.2440031,0.3051464,3.649627,0.0,0.0,0.0,0.0,1016.728,100.0,24.37703,33.182,60.23,46.53099,11.99251,341.7435,10030.58,1268.0,193.0,1461.0
2018-08-25,0.0,12.47221,92.07051,0.2027139,0.2601036,3.302798,0.0,0.0,0.0,0.0,1017.567,0.0,24.72503,34.0765,61.22,48.38533,14.823,142.3731,10031.72,1180.0,123.0,1303.0
2018-08-26,0.0,12.89789,93.3295,0.1971206,0.2540018,3.255814,0.2,0.0,0.1,0.169,1018.258,0.0,23.58225,32.3225,59.17,46.15714,21.02848,141.4195,10028.79,1060.0,117.0,1177.0
2018-08-27,0.0,13.08918,95.80001,0.3247951,0.3932829,4.328279,4.299998,0.0,0.1,0.216,1016.716,0.0,24.24397,33.148,58.49,47.25227,27.64795,263.7704,10030.25,1425.0,278.0,1703.0
2018-08-28,0.0,12.78948,94.989,0.2675418,0.3308249,3.847352,0.0,0.0,0.0,0.0,1016.319,0.0,25.2633,32.58801,58.39,44.70179,13.806,358.7096,10033.54,1327.0,181.0,1508.0
2018-08-29,0.0,13.39305,94.03452,0.2210443,0.2801003,3.456773,0.0,0.0,0.0,0.0,1016.312,100.0,24.9727,33.689,59.37,46.94848,9.130502,359.7603,10035.29,893.0,57.0,950.0
2018-08-30,0.0,13.32573,94.0385,0.1980893,0.2550585,3.263951,0.0,0.0,0.0,0.0,1016.009,0.0,25.48399,33.385,61.66,48.71493,8.6538,357.8619,10036.16,1260.0,151.0,1411.0
2018-08-31,0.0,12.741,94.33601,0.1903871,0.2466561,3.199253,0.0,0.0,0.0,0.0,1014.685,0.0,24.85772,33.365,57.61,48.33779,10.13553,359.433,10036.15,1354.0,180.0,1534.0
2018-09-01,0.0,12.95281,94.0685,0.1866231,0.2425499,3.167634,0.0,0.0,0.0,0.0,1014.434,0.0,24.83034,34.22551,62.07,48.7117,11.69552,317.999,10035.11,1027.0,95.0,1122.0
2018-09-02,0.0,13.20205,91.565,0.1805765,0.2359536,3.116843,0.0,0.0,0.0,0.0,1014.027,0.0,25.51801,33.62251,59.01,45.82925,8.599502,359.4874,10034.94,1098.0,104.0,1202.0
2018-09-03,0.0,13.88015,93.53151,0.2815434,0.3460994,3.964966,3.899998,0.1,0.1,0.179,1013.515,0.0,25.4729,32.9595,58.05001,46.24566,16.59601,356.6631,10034.39,792.0,120.0,912.0
2018-09-04,0.0,13.15375,97.11849,0.3259152,0.394505,4.337689,10.0,0.0,0.1,1.417,1014.475,0.0,25.4608,33.5925,59.97,44.25674,15.4041,359.6845,10034.7,1222.0,265.0,1487.0
2018-09-05,0.0,13.16619,95.4695,0.258972,0.321476,3.775365,0.1,0.0,0.1,0.063,1015.252,0.0,25.13951,32.9065,61.26,44.1646,12.20849,358.2739,10035.03,1519.0,305.0,1824.0
2018-09-06,0.0,12.8278,95.48852,0.2858605,0.3508088,4.001228,0.4,0.0,0.1,0.129,1016.543,0.0,25.31649,33.42651,57.52,42.3181,12.19021,359.6941,10035.65,1456.0,170.0,1626.0
2018-09-07,0.0,12.65473,95.01051,0.2422344,0.3032169,3.63477,0.4,0.0,0.1,5.115,1016.063,0.0,25.05172,33.981,60.98,45.1396,8.460913,359.3997,10036.18,1493.0,226.0,1719.0
2018-09-08,0.0,12.70623,94.327,0.3010571,0.3673869,4.12888,1.7,0.0,0.1,0.175,1014.653,0.0,24.90567,33.3845,62.91,46.23882,16.2,359.7951,10034.72,1097.0,127.0,1224.0
2018-09-09,0.0,12.93005,95.92851,0.3006694,0.366964,4.125624,3.099999,0.0,0.1,0.288,1012.721,0.0,26.32507,33.772,60.39,45.23465,10.33651,359.0188,10036.2,998.0,61.0,1059.0
2018-09-10,0.0,13.15673,93.74,0.2538916,0.3159338,3.73269,0.0,0.0,0.0,0.0,1012.264,0.0,25.12758,34.756,62.39,46.12822,10.7016,358.164,10037.97,1374.0,161.0,1535.0
2018-09-11,0.0,12.85777,94.341,0.2038827,0.2613786,3.312615,20.49999,0.0,0.0,0.0,1013.253,100.0,25.42733,33.697,58.93,44.49182,11.4732,358.9231,10033.95,1133.0,117.0,1250.0
2018-09-12,0.0,12.79236,93.34158,0.1694925,0.223862,3.023738,0.0,0.0,0.0,0.0,1013.313,0.0,25.19344,34.33001,63.14,49.62768,11.16212,346.6973,10039.25,1344.0,158.0,1502.0
2018-09-13,0.0,12.84486,94.28749,0.4016188,0.4770906,4.973598,3.599999,0.0,0.1,0.212,1014.635,0.0,26.02353,33.922,60.41,47.03099,15.318,351.5837,10034.39,1347.0,136.0,1483.0
